No.,Nama Tempat,Koordinat,Buka,Tutup,Informasi,Kategori,Foto
8,Warung Ibu Sumarni,"-7.6821254793560385, 110.55550023034124",8:00 am,4:00 pm,,kuliner,
6,Warung Bu Dewi (buka-tutup sesuka hati),"-7.682361, 110.555722",6:00 am,9:00 pm,"gaada banner, gamau qris",kuliner,
13,Warung Biasa,"-7.6825362609148655, 110.55652467134293",Belum pasti,Magrib,"gaada banner, gaada qris",kuliner,
26,Es Teh Jumbo 3000,"-7.6831928292325955, 110.55557749659282",,,,kuliner,
3,Warung Bu Darti,"-7.683108606237874, 110.55598339062027",6:00 am,9:00 pm,gaada banner,kuliner,
4,Angkringan Yu Sri,"-7.683007597289238, 110.5560196004414",9:00 am,8:00 pm,gaada banner. gaada qris,kuliner,
11,Kedai Amy Ais,"-7.682877830929332, 110.55649248483564",Tidak dapat info karena tutup,,,kuliner,
57,Warung Ijo Bayan,"-7.690275,110.562272",,,,kuliner,
37,Warung Biru,"-7.685818, 110.560043",07.00,seharian,,kuliner,
19,Warung Bu Siti,"-7.685839924168013, 110.56277406928182",9:00 am,5:30 pm,"gaada banner, gaada qris",kuliner,
17,Warung Jajan Mbak Yessi,"-7.685578099978905, 110.56302753802005",12 PM (Senin-Kamis); 10 AM (Jumat-Minggu),6:00 pm,,kuliner,
18,Warung Sayur (tidak ada nama),"-7.685817330208982, 110.56304899569703",9:00 am,6:00 pm,"gaada banner, gaada qris",usaha_lokal,
22,Warung Padang Bunda,"-7.685568631242473, 110.56422894215899",,,,kuliner,
39,Warung Putih,"-7.686611, 110.559951",07.00,,,kuliner,
65,Bolu and Cake Mbak Siti,"-7.687712, 110.562128",pesan,,,kuliner,
51,Es teh,"-7.688003,110.563072",gaada orang,,,kuliner,
59,Pempek & Batagor Ketukon,"-7.689845,110.562875",,,,kuliner,
30,Warung ijo dekat posko uin,"-7.684855, 110.559242",,,,kuliner,
61,Warung Mie Ayam dan Bakso Mba Yunita,"-7.690038,110.562937",10.00,20.00,,kuliner,
71,Warung Teras Bu Is,"-7.698188970362263, 110.55955999452046",?,?,"tempat cemilan/minuman di belokan jalan, punya banner",usaha_lokal,
70,Randu Alas Bu Suparmi,"-7.698241466558526, 110.55997976022948",Pagi,11,"Toko dekat jalan view sawah, kondisi jalan bagus, biasa digunakan untuk ngopi malam",kuliner,
15,Masjid At-Taubah,"-7.682907100610918, 110.55408741549903",,,gaada papan nama yg jelas,fasilitas_umum,
12,Kuburan Bangsal Karangmojo,"-7.682384747279444, 110.55639458420464",,,,fasilitas_umum,
10,TPQ Thoyyibul 'ilmi,"-7.682982827105105, 110.55631948235103",Tidak dapat info karena tutup,,,fasilitas_umum,
14,Masjid At-Taqwa,"-7.682341552591034, 110.55723746838892",,,gaada papan nama yg jelas,fasilitas_umum,
47,Masjid LDII,"-7.6864976,110.557269",24 jam,,,fasilitas_umum,
64,Makam Brintik,"-7.687214, 110.561558",,,,fasilitas_umum,
32,Makam,"-7.685019, 110.560004",24 jam,,,fasilitas_umum,
20,Pos Ronda,"-7.68585720190143, 110.56269494411426",,,,fasilitas_umum,
23,Koperasi Merah Putih Desa Malangjiwan,"-7.685568631242473, 110.56422894215899",,,,fasilitas_umum,
63,Masjid Ar-Rahman,"-7.686773,110.561585",,,,fasilitas_umum,
67,Masjid Al-Mu'min,"-7.6972875, 110.5590469",24 7,,"Masjid seberang pemakaman, ramah difabel, fasilitas_umum lengkap",fasilitas_umum,
2,URC Motor,"-7.682370722618742, 110.55571277413307",8:00 am,4:00 pm,"gaada banner, gaada qris",usaha_lokal,
5,Cetak Mug Full Warna,"-7.682695352916486, 110.5560279340445",7:30 am,11:00 pm,,usaha_lokal,
41,Gulanas,"-7.6865856,110.5571552",Tutup,,,usaha_lokal,
31,Doa Beauty Salon,"-7.6849984,110.559338",24 jam,,gaada banner,usaha_lokal,
35,Pimpinan Ranting Aisyiyah Malangjiwan,"-7.685185, 110.559513",Tutup,,,fasilitas_umum,
33,Amza Fashion Muslim,"-7.6851732,110.5597058",tutup,,,usaha_lokal,
21,Rizqi Servis Kipas ,"-7.686189216731506, 110.56220707511069",Tidak dapat info karena tutup,,,fasilitas_umum,
16,Bengkel Riska,"-7.686673241718803, 110.56317103619901",8:30 am,4:00 pm,"gaada banner, gaada qris",usaha_lokal,
16,Jual Beli Karung,"-7.686915, 110.559687",,,"no hp:",usaha_lokal,
42,Mbah Min Home stay,"-7.687898, 110.561695",Tutup,,,penginapan,
43,Wisma Kacamata Karunia,"-7.687707, 110.562076",10.00,19.00 (fleksibel),,usaha_lokal,
49,DMC Gypsum & LRS Gadget,"-7.6876585,110.5630119",gaada orang,,,usaha_lokal,
50,Toko Bangunan Sekawan,"-7.688025,110.563072",ada di maps,,,usaha_lokal,
53,Rumah Jahit Inka,"-7.688470,110.562972",,,,usaha_lokal,
99,Zidane Sportwear,"-7.6890063085755, 110.56217164953839",,,,usaha_lokal,
62,Sega Gudang Sayur dan Snack,"-7.689603,110.562875",05.00,09.00,,kuliner,
69,My bengkel,"-7.6972201,110.559824",24 7,jumat dan minggu,Bengkel di tengah perumahan ,usaha_lokal,
